scenario_file,run_id,algorithm_version,code_version,config_hash,final_time_s,global_coverage,priority_coverage,redundant_coverage_rate,total_distance_m,effective_search_distance_m,path_efficiency,min_battery,event_count,conflict_count,no_fly_violations,map_update_count,target_found_count,confirm_done_count,time_to_95_coverage_s,time_to_priority_coverage_s,coverage_goal_met,priority_goal_met,turn_rate,replan_count,coverage_gain_per_meter,post_95_extra_distance_m,per_uav_workload_balance,target_response_time_s,target_confirm_duration_s,confirm_success_rate,search_resume_delay_s,coverage_gap_at_confirm_done,interrupted_task_resume_rate,supplemental_task_count,ignored_uncovered_cells,final_uncovered_cells,final_priority_uncovered_cells,post_95_extra_time_s
config\scenarios\area_search_3uav.yaml,area_search_3uav,adaptive_component_sweep_v1,f9c7cf2,42d04e5d3437,252.0,0.9519860323003055,1.0,0.26180651077487394,7515.685424949242,7515.685424949242,1.0,0.8606508738195915,1,0,0,1,0,0,251.0,131.0,True,True,0.00931385443137713,11,0.0001249467634742333,0.0,0.9990941304418169,,,0.0,,0.0,1.0,1,110,110,0,1.0
config\scenarios\area_search_4uav.yaml,area_search_4uav,adaptive_component_sweep_v1,f9c7cf2,c2680695f54e,245.0,0.959890610756609,1.0,0.41690408357075026,9064.924240491757,7967.22871427475,0.8789073689867419,0.8647467532651636,1,0,0,1,0,0,203.0,145.0,True,True,0.013458468792827076,17,0.00010395179278994548,1097.6955262170068,0.9490004348725193,,,0.0,,0.0,1.0,1,88,88,0,42.0
config\scenarios\area_search_5uav.yaml,area_search_5uav,adaptive_component_sweep_v1,f9c7cf2,90a5bcccb8e3,182.0,0.9525979945305378,1.0,0.34210526315789475,9002.792206135791,9002.792206135791,1.0,0.8996677890297559,1,0,0,1,0,0,181.0,128.0,True,True,0.015328577716805132,16,0.00010341621031505517,0.0,0.997092471302063,,,0.0,,0.0,1.0,0,104,104,0,1.0
config\scenarios\stress_5uav_balance.yaml,stress_5uav_balance,adaptive_component_sweep_v1,f9c7cf2,6c13f772f026,173.0,0.9514223194748359,1.0,0.24977000919963202,8570.365799264597,8570.365799264597,1.0,0.9046350809725083,0,0,0,0,0,0,172.0,120.0,True,True,0.015635271952044127,16,0.00010856196534846277,0.0,0.9975435142286723,,,0.0,,0.0,1.0,0,111,111,0,1.0
config\scenarios\stress_obstacle_maze_3uav.yaml,stress_obstacle_maze_3uav,adaptive_component_sweep_v1,f9c7cf2,9a5d6141923f,270.0,0.9507261410788381,1.0,0.36552100381887614,8051.66522241371,8051.66522241371,1.0,0.8505719095841857,0,0,0,0,0,0,269.0,219.0,True,True,0.011302009893143599,14,0.00011614566046542513,0.0,0.9979322191542034,,,0.0,,0.0,1.0,0,95,95,0,1.0
config\scenarios\area_search_2uav_target_confirm.yaml,area_search_2uav_target_confirm,adaptive_component_sweep_v1,f9c7cf2,ca2737f697ec,388.0,0.9512809743805124,1.0,0.2640176600441501,7728.944443027289,7345.096679918786,0.9503363278209623,0.7851280263212865,2,0,0,0,1,1,387.0,319.0,True,True,0.011644539647479807,11,0.00012210220069945927,0.0,0.9991666084671055,0.0,39.0,1.0,0.0,0.819382612347753,1.0,0,116,116,0,1.0
