scenario_file,run_id,algorithm_version,code_version,config_hash,final_time_s,global_coverage,priority_coverage,redundant_coverage_rate,total_distance_m,effective_search_distance_m,path_efficiency,min_battery,event_count,conflict_count,no_fly_violations,map_update_count,target_found_count,confirm_done_count,time_to_95_coverage_s,time_to_priority_coverage_s,coverage_goal_met,priority_goal_met,turn_rate,replan_count,coverage_gain_per_meter,post_95_extra_distance_m,per_uav_workload_balance,target_response_time_s,target_confirm_duration_s,confirm_success_rate,search_resume_delay_s,coverage_gap_at_confirm_done,interrupted_task_resume_rate,supplemental_task_count,ignored_uncovered_cells,final_uncovered_cells,final_priority_uncovered_cells,post_95_extra_time_s
config\scenarios\stress_obstacle_maze_3uav.yaml,stress_obstacle_maze_3uav,baseline_sparse_boustrophedon,0756d35,23485e930b60,522.0,0.9771784232365145,1.0,0.5589171974522293,12088.843430349634,11308.42712474621,0.9354432613756787,0.753789602472126,0,0,0,0,0,0,391.0,181.0,True,True,0.022665526406943907,12,7.954592701955433e-05,1662.8427124746177,0.890871119906282,,,0.0,,0.0,1.0,89,44,44,0,131.0
config\scenarios\stress_fragmented_area_4uav.yaml,stress_fragmented_area_4uav,baseline_sparse_boustrophedon,0756d35,e317442ebce5,117.0,0.5039486673247778,0.5333333333333333,0.20959843290891284,4344.264068711929,4344.264068711929,1.0,0.9350163540286265,0,0,0,0,0,0,,,False,False,0.016803766724439576,4,0.00011191300912502522,,0.9471464664595806,,,0.0,,0.0,1.0,0,0,1005,56,
config\scenarios\stress_fragmented_area_4uav_reachable.yaml,stress_fragmented_area_4uav_reachable,baseline_sparse_boustrophedon,0756d35,d1740f750c30,232.0,0.9509056244041945,1.0,0.40852130325814534,9216.934341759523,9216.934341759523,1.0,0.8716830206952959,0,0,0,0,0,0,231.0,108.0,True,True,0.01508093633370342,11,0.00010115255868461189,0.0,0.9978049381333233,,,0.0,,0.0,1.0,0,103,103,0,1.0
config\scenarios\stress_5uav_balance.yaml,stress_5uav_balance,baseline_sparse_boustrophedon,0756d35,68722aaffaed,248.0,0.9846827133479212,1.0,0.444,10511.787155501906,9269.655121145941,0.8818343621326247,0.8742075517382313,0,0,0,0,0,0,190.0,98.0,True,True,0.013794038811383894,10,9.18006657484388e-05,1491.1269837220825,0.9235834734307746,,,0.0,,0.0,1.0,24,35,35,0,58.0
config\scenarios\stress_target_confirm_mid_search.yaml,stress_target_confirm_mid_search,baseline_sparse_boustrophedon,0756d35,0d2597609c3b,404.0,0.9770310506167589,1.0,0.40313452329124944,9225.512985522213,7851.248916810282,0.85103656882077,0.8076198493069737,2,0,0,0,1,1,327.0,179.0,True,True,0.012573826537563946,10,0.0001046604755139785,1284.264068711931,0.8665089412038247,0.0,33.0,1.0,0.0,0.3443002977456401,1.0,24,54,54,0,77.0
config\scenarios\stress_dynamic_obstacle_mid_route.yaml,stress_dynamic_obstacle_mid_route,baseline_sparse_boustrophedon,0756d35,772d4a354fd3,229.0,0.950406156477127,1.0,0.18488529014844804,6823.259018078048,6823.259018078048,1.0,0.873596160036349,1,0,0,0,0,0,228.0,163.0,True,True,0.010552142284095893,10,0.00013762725125699595,0.0,0.9995944725695484,,,0.0,,0.0,1.0,0,116,116,0,1.0
