scenario_file,run_id,algorithm_version,code_version,config_hash,final_time_s,global_coverage,priority_coverage,redundant_coverage_rate,total_distance_m,effective_search_distance_m,path_efficiency,min_battery,event_count,conflict_count,no_fly_violations,map_update_count,target_found_count,confirm_done_count,time_to_95_coverage_s,time_to_priority_coverage_s,coverage_goal_met,priority_goal_met,turn_rate,replan_count,coverage_gain_per_meter,post_95_extra_distance_m,per_uav_workload_balance,target_response_time_s,target_confirm_duration_s,confirm_success_rate,search_resume_delay_s,coverage_gap_at_confirm_done,interrupted_task_resume_rate,supplemental_task_count,ignored_uncovered_cells,final_uncovered_cells,final_priority_uncovered_cells,post_95_extra_time_s
config\scenarios\common_edge_3uav_spread_bottom.yaml,common_edge_3uav_spread_bottom,adaptive_component_sweep_v1,444e196,196229f1e791,246.0,0.9504,1.0,0.0585016835016835,7336.568542494924,7336.568542494924,1.0,0.8638888888888948,0,0,0,0,0,0,245.0,179.0,True,True,0.010359066307333225,11,0.00012790720819475657,0.0,0.9986759097473487,,,0.0,,0.0,1.0,0,124,124,0,1.0
config\scenarios\common_edge_3uav_spread_left.yaml,common_edge_3uav_spread_left,adaptive_component_sweep_v1,444e196,9ddfd801d657,210.0,0.95,1.0,0.14442105263157895,6264.1421356237315,6264.1421356237315,1.0,0.8838888888888939,0,0,0,0,0,0,209.0,68.0,True,True,0.0035120531309287446,9,0.00014974117440050738,0.0,0.9986792557281522,,,0.0,,0.0,1.0,0,125,125,0,1.0
config\scenarios\common_edge_4uav_spread_bottom.yaml,common_edge_4uav_spread_bottom,adaptive_component_sweep_v1,444e196,f71cfdb0a449,196.0,0.9512,1.0,0.023128679562657694,7781.42135623731,7781.42135623731,1.0,0.8916666666666714,0,0,0,0,0,0,195.0,143.0,True,True,0.013365167523878823,13,0.00012008088975300358,0.0,0.9983729988623383,,,0.0,,0.0,1.0,0,122,122,0,1.0
config\scenarios\common_edge_3uav_sparse_obstacles.yaml,common_edge_3uav_sparse_obstacles,adaptive_component_sweep_v1,444e196,b35bc47fdd52,250.0,0.9516329061595701,1.0,0.07645525629887055,7462.84271247462,7462.84271247462,1.0,0.8616666666666727,0,0,0,0,0,0,249.0,168.0,True,True,0.013801711220287264,11,0.0001258543323787518,0.0,0.9989179171566867,,,0.0,,0.0,1.0,0,117,117,0,1.0
config\scenarios\distributed_3uav_should_not_sector.yaml,distributed_3uav_should_not_sector,adaptive_component_sweep_v1,444e196,09aa86f1d668,292.0,0.952,1.0,0.19747899159663865,8720.660171779828,8720.660171779828,1.0,0.838398749447835,0,0,0,0,0,0,291.0,248.0,True,True,0.013645755901036664,17,0.00010769826842229945,0.0,0.9994952441639868,,,0.0,,0.0,1.0,0,120,120,0,1.0
config\scenarios\clustered_launch_3uav_open.yaml,clustered_launch_3uav_open,adaptive_component_sweep_v1,444e196,281bb6c2bba9,225.0,0.9512,1.0,0.1930193439865433,6713.1370849898485,6713.1370849898485,1.0,0.875555555555561,0,0,0,0,0,0,224.0,178.0,True,True,0.004170926296530758,10,0.0001408581394999816,0.0,0.9988583262764591,,,0.0,,0.0,1.0,0,122,122,0,1.0
config\scenarios\area_search_3uav.yaml,area_search_3uav,adaptive_component_sweep_v1,444e196,424ce353334f,311.0,0.9729375818419904,1.0,0.31942575145805296,8430.782104868029,7471.665222413711,0.8862363099266303,0.836216009343316,1,0,0,1,0,0,262.0,240.0,True,True,0.011979908713532219,14,0.00011402318943111283,959.1168824543183,0.9620369283671656,,,0.0,,0.0,1.0,2,62,62,0,49.0
config\scenarios\area_search_5uav.yaml,area_search_5uav,adaptive_component_sweep_v1,444e196,e9e832fc1306,157.0,0.9576116681859617,0.9851851851851852,0.31032841504045694,7771.37084989848,7771.37084989848,1.0,0.9134055235082875,1,0,0,1,0,0,153.0,150.0,True,True,0.015312613732949643,12,0.00012062170920269834,140.0,0.9974928701036184,,,0.0,,0.0,1.0,2,93,93,2,4.0
config\scenarios\area_search_2uav_target_confirm.yaml,area_search_2uav_target_confirm,adaptive_component_sweep_v1,444e196,e0763e88623c,388.0,0.9512809743805124,1.0,0.2640176600441501,7728.944443027289,7345.096679918786,0.9503363278209623,0.7851280263212865,2,0,0,0,1,1,387.0,319.0,True,True,0.011644539647479807,11,0.00012210220069945927,0.0,0.9991666084671055,0.0,39.0,1.0,0.0,0.819382612347753,1.0,0,116,116,0,1.0
