scenario_file,run_id,algorithm_version,code_version,config_hash,final_time_s,global_coverage,priority_coverage,redundant_coverage_rate,total_distance_m,effective_search_distance_m,path_efficiency,min_battery,event_count,conflict_count,no_fly_violations,map_update_count,target_found_count,confirm_done_count,time_to_95_coverage_s,time_to_priority_coverage_s,coverage_goal_met,priority_goal_met,turn_rate,replan_count,coverage_gain_per_meter,post_95_extra_distance_m,per_uav_workload_balance,target_response_time_s,target_confirm_duration_s,confirm_success_rate,search_resume_delay_s,coverage_gap_at_confirm_done,interrupted_task_resume_rate,supplemental_task_count,ignored_uncovered_cells,final_uncovered_cells,final_priority_uncovered_cells,post_95_extra_time_s
config\scenarios\area_search_1uav.yaml,area_search_1uav,baseline_sparse_boustrophedon,e4af27c,3747b73dbdd1,751.0,0.9508264462809918,1.0,0.26597131681877445,7495.979797464464,7495.979797464464,1.0,0.5835566779186585,1,0,0,1,0,0,750.0,673.0,True,True,0.009071529251319646,12,0.00012640745884572851,0.0,1.0,,,0.0,,0.0,1.0,0,119,119,0,1.0
config\scenarios\area_search_2uav.yaml,area_search_2uav,baseline_sparse_boustrophedon,e4af27c,da0c1e11bb61,346.0,0.9508609827803444,1.0,0.1978798586572438,6889.827560572972,6889.827560572972,1.0,0.8085403238900251,0,0,0,0,0,0,345.0,282.0,True,True,0.009869622919030645,10,0.00013691215428603172,0.0,0.9996052578448165,,,0.0,,0.0,1.0,0,117,117,0,1.0
config\scenarios\area_search_3uav.yaml,area_search_3uav,baseline_sparse_boustrophedon,e4af27c,34647cc922d0,251.0,0.9519860323003055,1.0,0.2677670793214122,7487.40115370178,7487.40115370178,1.0,0.861206429375147,1,0,0,1,0,0,250.0,131.0,True,True,0.009081922900094744,11,0.00012541876010925405,0.0,0.999100646889421,,,0.0,,0.0,1.0,1,110,110,0,1.0
config\scenarios\area_search_4uav.yaml,area_search_4uav,baseline_sparse_boustrophedon,e4af27c,1664961c78cf,249.0,0.9580674567000912,1.0,0.39581351094196005,8465.929291125642,7592.3759005323645,0.8968154161754015,0.8623434744830496,1,0,0,1,0,0,206.0,145.0,True,True,0.013347619158413189,14,0.00011109140413368443,873.5533905932771,0.8770977613066469,,,0.0,,0.0,1.0,1,92,92,0,43.0
config\scenarios\area_search_5uav.yaml,area_search_5uav,baseline_sparse_boustrophedon,e4af27c,b14c91fbc0ab,255.0,0.9571558796718322,1.0,0.4642857142857143,10756.883835420696,8851.076477383252,0.8228290472225864,0.8590891053851226,1,0,0,1,0,0,192.0,128.0,True,True,0.016361615751623176,12,8.697616816061697e-05,1905.807358037444,0.866326868821314,,,0.0,,0.0,1.0,2,94,94,0,63.0
config\scenarios\area_search_2uav_target_confirm.yaml,area_search_2uav_target_confirm,baseline_sparse_boustrophedon,e4af27c,906b12dce8f1,388.0,0.9512809743805124,1.0,0.2640176600441501,7728.944443027289,7345.096679918786,0.9503363278209623,0.7851280263212865,2,0,0,0,1,1,387.0,319.0,True,True,0.011644539647479807,11,0.00012210220069945927,0.0,0.9991666084671055,0.0,39.0,1.0,0.0,0.819382612347753,1.0,0,116,116,0,1.0
