scenario_file,run_id,algorithm_version,code_version,config_hash,final_time_s,global_coverage,priority_coverage,redundant_coverage_rate,total_distance_m,effective_search_distance_m,path_efficiency,min_battery,event_count,conflict_count,no_fly_violations,map_update_count,target_found_count,confirm_done_count,time_to_95_coverage_s,time_to_priority_coverage_s,coverage_goal_met,priority_goal_met,turn_rate,replan_count,coverage_gain_per_meter,post_95_extra_distance_m,per_uav_workload_balance,target_response_time_s,target_confirm_duration_s,confirm_success_rate,search_resume_delay_s,coverage_gap_at_confirm_done,interrupted_task_resume_rate,supplemental_task_count,ignored_uncovered_cells,final_uncovered_cells,final_priority_uncovered_cells,post_95_extra_time_s
config\scenarios\area_search_3uav.yaml,area_search_3uav,baseline_sparse_boustrophedon,94f4430,36f86c8291fa,251.0,0.9519860323003055,1.0,0.2677670793214122,7487.40115370178,7487.40115370178,1.0,0.861206429375147,1,0,0,1,0,0,250.0,131.0,True,True,0.009081922900094744,11,0.00012541876010925405,0.0,0.999100646889421,,,0.0,,0.0,1.0,1,110,110,0,1.0
config\scenarios\area_search_5uav.yaml,area_search_5uav,baseline_sparse_boustrophedon,94f4430,e4dbe55c530e,251.0,0.9525979945305378,1.0,0.48564593301435405,11804.995667241134,9361.492782986681,0.7930111155368592,0.8618042729561177,1,0,0,1,0,0,192.0,128.0,True,True,0.01719610965748383,17,7.886785209045862e-05,2443.5028842544525,0.9484920027139514,,,0.0,,0.0,1.0,2,104,104,0,59.0
config\scenarios\clustered_launch_3uav_open.yaml,clustered_launch_3uav_open,baseline_sparse_boustrophedon,94f4430,38092543cecc,223.0,0.9508,1.0,0.1783761043331931,6634.852813742386,6634.852813742386,1.0,0.876666666666672,0,0,0,0,0,0,222.0,176.0,True,True,0.004220138831415404,11,0.0001424598294090657,0.0,0.9970670560993476,,,0.0,,0.0,1.0,0,123,123,0,1.0
config\scenarios\clustered_launch_3uav_sparse_obstacles.yaml,clustered_launch_3uav_sparse_obstacles,baseline_sparse_boustrophedon,94f4430,3fafa63a4d31,233.0,0.9513000412711514,1.0,0.22342733188720174,6939.411254969545,6939.411254969545,1.0,0.8713575837855032,0,0,0,0,0,0,232.0,187.0,True,True,0.009654997742354447,10,0.00013625393355796772,0.0,0.9991442541111584,,,0.0,,0.0,1.0,0,118,118,0,1.0
config\scenarios\clustered_launch_5uav_open.yaml,clustered_launch_5uav_open,baseline_sparse_boustrophedon,94f4430,c3fd0ac6e531,168.0,0.9648,0.984375,0.37976782752902155,8336.568542494924,8336.568542494924,1.0,0.9072222222222263,0,0,0,0,0,0,160.0,165.0,True,True,0.0038385097941536516,10,0.00011486740559004803,349.9999999999991,0.9984045989096668,,,0.0,,0.0,1.0,0,88,88,1,8.0
config\scenarios\clustered_launch_3uav_dynamic_obstacle.yaml,clustered_launch_3uav_dynamic_obstacle,baseline_sparse_boustrophedon,94f4430,8b63125162b9,384.0,0.9502875924404273,1.0,0.3376567228707307,8541.787155501912,8541.787155501912,1.0,0.7872712843081024,1,0,0,0,0,0,383.0,178.0,True,True,0.00866329242965687,15,0.00011058965695878136,0.0,0.6731841006874528,,,0.0,,0.0,1.0,4,121,121,0,1.0
config\scenarios\stress_obstacle_maze_3uav.yaml,stress_obstacle_maze_3uav,baseline_sparse_boustrophedon,94f4430,48ddbac07cb4,313.0,0.9507261410788381,0.9821428571428571,0.3944353518821604,9323.86868351905,9323.86868351905,1.0,0.8268764631310697,0,0,0,0,0,0,312.0,179.0,True,True,0.022737342963091385,14,0.00010029806369503486,0.0,0.9980051970693916,,,0.0,,0.0,1.0,0,95,95,1,1.0
config\scenarios\area_search_2uav_target_confirm.yaml,area_search_2uav_target_confirm,baseline_sparse_boustrophedon,94f4430,ad4217bdd463,388.0,0.9512809743805124,1.0,0.2640176600441501,7728.944443027289,7345.096679918786,0.9503363278209623,0.7851280263212865,2,0,0,0,1,1,387.0,319.0,True,True,0.011644539647479807,11,0.00012210220069945927,0.0,0.9991666084671055,0.0,39.0,1.0,0.0,0.819382612347753,1.0,0,116,116,0,1.0
