scenario_file,run_id,final_time_s,global_coverage,priority_coverage,redundant_coverage_rate,total_distance_m,effective_search_distance_m,path_efficiency,min_battery,event_count,conflict_count,no_fly_violations,map_update_count,target_found_count,confirm_done_count,time_to_95_coverage_s,time_to_priority_coverage_s,coverage_goal_met,priority_goal_met,turn_rate,replan_count,coverage_gain_per_meter,post_95_extra_distance_m,per_uav_workload_balance,supplemental_task_count,ignored_uncovered_cells,final_uncovered_cells,final_priority_uncovered_cells,post_95_extra_time_s
config\scenarios\area_search_1uav.yaml,area_search_1uav,840.0,0.9847107438016529,1.0,0.3302559798573227,8390.95454429505,7765.979797464464,0.9255180392729572,0.5338358586502945,1,0,0,1,0,0,750.0,673.0,True,True,0.00858066857827901,13,0.00011735384080600827,894.974746830585,1.0,0,37,37,0,90.0
config\scenarios\area_search_2uav.yaml,area_search_2uav,408.0,0.9804753820033956,1.0,0.2519480519480519,7618.82250993909,7173.259018078048,0.94151806381107,0.7738821148284429,1,0,0,1,0,0,342.0,276.0,True,True,0.010106548603744226,11,0.0001286911961427533,785.5634918610422,0.9359452413454256,0,46,46,0,66.0
config\scenarios\area_search_3uav.yaml,area_search_3uav,308.0,0.9720646006110869,1.0,0.3713515940727436,8685.512985522213,7863.380951166248,0.9053444470434426,0.8289447250352231,1,0,0,1,0,0,261.0,140.0,True,True,0.010592350751573776,12,0.00011191792611805553,872.1320343559646,0.9555994409430827,0,64,64,0,47.0
config\scenarios\area_search_4uav.yaml,area_search_4uav,234.0,0.9676390154968095,1.0,0.3810645313235987,8780.487732352802,7643.086578651019,0.8704626453140085,0.8700885442035797,1,0,0,1,0,0,180.0,145.0,True,True,0.014691666788017187,13,0.00011020333323072965,1597.106781186555,0.957762138897346,0,71,71,0,54.0
config\scenarios\area_search_5uav.yaml,area_search_5uav,260.0,0.9644484958979034,1.0,0.4905482041587902,10995.462479183387,8928.65007051206,0.812030425042674,0.8560812089615821,1,0,0,1,0,0,195.0,128.0,True,True,0.016279442573596415,12,8.771331790034276e-05,2080.9545442950566,0.8702452788730731,0,78,78,0,65.0
