scenario_file,run_id,algorithm_version,code_version,config_hash,final_time_s,global_coverage,priority_coverage,redundant_coverage_rate,total_distance_m,effective_search_distance_m,path_efficiency,min_battery,event_count,conflict_count,no_fly_violations,map_update_count,target_found_count,confirm_done_count,time_to_95_coverage_s,time_to_priority_coverage_s,coverage_goal_met,priority_goal_met,turn_rate,replan_count,coverage_gain_per_meter,post_95_extra_distance_m,per_uav_workload_balance,target_response_time_s,target_confirm_duration_s,confirm_success_rate,search_resume_delay_s,coverage_gap_at_confirm_done,interrupted_task_resume_rate,supplemental_task_count,ignored_uncovered_cells,final_uncovered_cells,final_priority_uncovered_cells,post_95_extra_time_s
config\scenarios\common_edge_3uav_spread_bottom.yaml,common_edge_3uav_spread_bottom,adaptive_component_sweep_v1,444e196,196229f1e791,241.0,0.9512,1.0,0.0336417157275021,7194.1421356237315,7194.1421356237315,1.0,0.8666666666666725,0,0,0,0,0,0,240.0,201.0,True,True,0.010008142547458524,9,0.0001305506594524034,0.0,0.9988497943915735,,,0.0,,0.0,1.0,0,122,122,0,1.0
config\scenarios\common_edge_3uav_spread_left.yaml,common_edge_3uav_spread_left,adaptive_component_sweep_v1,444e196,9ddfd801d657,207.0,0.9528,1.0,0.13937867338371115,6170.710678118656,6170.710678118656,1.0,0.8855555555555605,0,0,0,0,0,0,206.0,149.0,True,True,0.0035652295412280494,9,0.0001524621796539704,0.0,0.9988330211031945,,,0.0,,0.0,1.0,0,118,118,0,1.0
config\scenarios\common_edge_4uav_spread_bottom.yaml,common_edge_4uav_spread_bottom,adaptive_component_sweep_v1,444e196,f71cfdb0a449,190.0,0.9504,1.0,0.0025252525252525255,7548.284271247463,7548.284271247463,1.0,0.8950000000000046,0,0,0,0,0,0,189.0,172.0,True,True,0.012983082840864456,12,0.0001236837361248067,0.0,0.9984503004295585,,,0.0,,0.0,1.0,0,124,124,0,1.0
config\scenarios\common_edge_3uav_sparse_obstacles.yaml,common_edge_3uav_sparse_obstacles,adaptive_component_sweep_v1,444e196,b35bc47fdd52,254.0,0.9508061182306738,1.0,0.08869565217391304,7575.979797464469,7575.979797464469,1.0,0.8595397627084804,0,0,0,0,0,0,253.0,193.0,True,True,0.014387577965358375,12,0.00012386573412079263,0.0,0.9988605454120474,,,0.0,,0.0,1.0,0,119,119,0,1.0
config\scenarios\distributed_3uav_should_not_sector.yaml,distributed_3uav_should_not_sector,adaptive_component_sweep_v1,444e196,09aa86f1d668,292.0,0.952,1.0,0.19747899159663865,8720.660171779828,8720.660171779828,1.0,0.838398749447835,0,0,0,0,0,0,291.0,248.0,True,True,0.013645755901036664,17,0.00010769826842229945,0.0,0.9994952441639868,,,0.0,,0.0,1.0,0,120,120,0,1.0
config\scenarios\clustered_launch_3uav_open.yaml,clustered_launch_3uav_open,adaptive_component_sweep_v1,444e196,281bb6c2bba9,225.0,0.9512,1.0,0.1930193439865433,6713.1370849898485,6713.1370849898485,1.0,0.875555555555561,0,0,0,0,0,0,224.0,178.0,True,True,0.004170926296530758,10,0.0001408581394999816,0.0,0.9988583262764591,,,0.0,,0.0,1.0,0,122,122,0,1.0
config\scenarios\area_search_3uav.yaml,area_search_3uav,adaptive_component_sweep_v1,444e196,424ce353334f,318.0,0.952859013531209,1.0,0.35730645900137425,9035.04617357996,7733.502884254449,0.8559450317883877,0.8243519320881343,1,0,0,1,0,0,264.0,214.0,True,True,0.014277735555709537,13,0.00010417501788063134,1301.543289325511,0.9506458530930717,,,0.0,,0.0,1.0,3,108,108,0,54.0
config\scenarios\area_search_5uav.yaml,area_search_5uav,adaptive_component_sweep_v1,444e196,e9e832fc1306,206.0,0.9580674567000912,1.0,0.406755470980019,9330.782104868025,7709.94949366117,0.8262918806815519,0.887675685453297,1,0,0,1,0,0,160.0,146.0,True,True,0.014146724091985106,14,0.00010051159835654266,1620.8326112068553,0.9397360964239726,,,0.0,,0.0,1.0,1,92,92,0,46.0
config\scenarios\area_search_2uav_target_confirm.yaml,area_search_2uav_target_confirm,adaptive_component_sweep_v1,444e196,e0763e88623c,388.0,0.9512809743805124,1.0,0.2640176600441501,7728.944443027289,7345.096679918786,0.9503363278209623,0.7851280263212865,2,0,0,0,1,1,387.0,319.0,True,True,0.011644539647479807,11,0.00012210220069945927,0.0,0.9991666084671055,0.0,39.0,1.0,0.0,0.819382612347753,1.0,0,116,116,0,1.0
