scenario_file,run_id,algorithm_version,code_version,config_hash,final_time_s,global_coverage,priority_coverage,redundant_coverage_rate,total_distance_m,effective_search_distance_m,path_efficiency,min_battery,event_count,conflict_count,no_fly_violations,map_update_count,target_found_count,confirm_done_count,time_to_95_coverage_s,time_to_priority_coverage_s,coverage_goal_met,priority_goal_met,turn_rate,replan_count,coverage_gain_per_meter,post_95_extra_distance_m,per_uav_workload_balance,target_response_time_s,target_confirm_duration_s,confirm_success_rate,search_resume_delay_s,coverage_gap_at_confirm_done,interrupted_task_resume_rate,supplemental_task_count,ignored_uncovered_cells,final_uncovered_cells,final_priority_uncovered_cells,post_95_extra_time_s
config\scenarios\common_edge_3uav_spread_bottom.yaml,common_edge_3uav_spread_bottom,baseline_sparse_boustrophedon,444e196,6096c73aca5f,360.0,0.9516,1.0,0.3123160992013451,10736.467529817271,10736.467529817271,1.0,0.8009232804907721,0,0,0,0,0,0,359.0,250.0,True,True,0.015181902198960422,35,8.751481782909946e-05,0.0,0.9987398583130405,,,0.0,,0.0,1.0,0,121,121,0,1.0
config\scenarios\common_edge_3uav_spread_left.yaml,common_edge_3uav_spread_left,baseline_sparse_boustrophedon,444e196,93db82e084de,207.0,0.9528,1.0,0.13937867338371115,6170.710678118656,6170.710678118656,1.0,0.8855555555555605,0,0,0,0,0,0,206.0,149.0,True,True,0.0035652295412280494,9,0.0001524621796539704,0.0,0.9988330211031945,,,0.0,,0.0,1.0,0,118,118,0,1.0
config\scenarios\common_edge_4uav_spread_bottom.yaml,common_edge_4uav_spread_bottom,baseline_sparse_boustrophedon,444e196,5edfbdb97f83,332.0,0.968,0.984375,0.365702479338843,12927.838379715753,11478.010819142779,0.8878522829580074,0.8162487174005641,0,0,0,0,0,0,283.0,288.0,True,True,0.018487236069952704,43,7.34848295667576e-05,1638.1118318204371,0.9858241597143553,,,0.0,,0.0,1.0,1,80,80,1,49.0
config\scenarios\common_edge_3uav_sparse_obstacles.yaml,common_edge_3uav_sparse_obstacles,baseline_sparse_boustrophedon,444e196,22027b657a46,397.0,0.9520463001240181,1.0,0.41424229266174556,11850.020920410549,11850.020920410549,1.0,0.7803350168779701,0,0,0,0,0,0,396.0,353.0,True,True,0.019493636471318306,35,7.929475293770368e-05,0.0,0.9990682527363866,,,0.0,,0.0,1.0,0,116,116,0,1.0
config\scenarios\distributed_3uav_should_not_sector.yaml,distributed_3uav_should_not_sector,baseline_sparse_boustrophedon,444e196,90f6ea93aa3d,277.0,0.9524,1.0,0.18227635447291055,8250.660171779828,8250.660171779828,1.0,0.8468573031947331,0,0,0,0,0,0,276.0,269.0,True,True,0.01321106405191896,17,0.00011388179617599134,0.0,0.9977813314584324,,,0.0,,0.0,1.0,0,119,119,0,1.0
config\scenarios\clustered_launch_3uav_open.yaml,clustered_launch_3uav_open,baseline_sparse_boustrophedon,444e196,0b1205cce61a,223.0,0.9508,1.0,0.1783761043331931,6634.852813742386,6634.852813742386,1.0,0.876666666666672,0,0,0,0,0,0,222.0,176.0,True,True,0.004220138831415404,11,0.0001424598294090657,0.0,0.9970670560993476,,,0.0,,0.0,1.0,0,123,123,0,1.0
config\scenarios\area_search_3uav.yaml,area_search_3uav,baseline_sparse_boustrophedon,444e196,8a34c424cb3d,251.0,0.9519860323003055,1.0,0.2677670793214122,7487.40115370178,7487.40115370178,1.0,0.861206429375147,1,0,0,1,0,0,250.0,131.0,True,True,0.009081922900094744,11,0.00012541876010925405,0.0,0.999100646889421,,,0.0,,0.0,1.0,1,110,110,0,1.0
config\scenarios\area_search_5uav.yaml,area_search_5uav,baseline_sparse_boustrophedon,444e196,b4cd2b58a42c,251.0,0.9525979945305378,1.0,0.48564593301435405,11804.995667241134,9361.492782986681,0.7930111155368592,0.8618042729561177,1,0,0,1,0,0,192.0,128.0,True,True,0.01719610965748383,17,7.886785209045862e-05,2443.5028842544525,0.9484920027139514,,,0.0,,0.0,1.0,2,104,104,0,59.0
config\scenarios\area_search_2uav_target_confirm.yaml,area_search_2uav_target_confirm,baseline_sparse_boustrophedon,444e196,545aa6ccc616,388.0,0.9512809743805124,1.0,0.2640176600441501,7728.944443027289,7345.096679918786,0.9503363278209623,0.7851280263212865,2,0,0,0,1,1,387.0,319.0,True,True,0.011644539647479807,11,0.00012210220069945927,0.0,0.9991666084671055,0.0,39.0,1.0,0.0,0.819382612347753,1.0,0,116,116,0,1.0
