scenario_file,run_id,algorithm_version,code_version,config_hash,final_time_s,global_coverage,priority_coverage,redundant_coverage_rate,total_distance_m,effective_search_distance_m,path_efficiency,min_battery,event_count,conflict_count,no_fly_violations,map_update_count,target_found_count,confirm_done_count,time_to_95_coverage_s,time_to_priority_coverage_s,coverage_goal_met,priority_goal_met,turn_rate,replan_count,coverage_gain_per_meter,post_95_extra_distance_m,per_uav_workload_balance,target_response_time_s,target_confirm_duration_s,confirm_success_rate,search_resume_delay_s,coverage_gap_at_confirm_done,interrupted_task_resume_rate,supplemental_task_count,ignored_uncovered_cells,final_uncovered_cells,final_priority_uncovered_cells,post_95_extra_time_s
config\scenarios\area_search_3uav.yaml,area_search_3uav,baseline_sparse_boustrophedon,f9c7cf2,f42c934ca085,251.0,0.9519860323003055,1.0,0.2677670793214122,7487.40115370178,7487.40115370178,1.0,0.861206429375147,1,0,0,1,0,0,250.0,131.0,True,True,0.009081922900094744,11,0.00012541876010925405,0.0,0.999100646889421,,,0.0,,0.0,1.0,1,110,110,0,1.0
config\scenarios\area_search_4uav.yaml,area_search_4uav,baseline_sparse_boustrophedon,f9c7cf2,804d104c1d5c,247.0,0.9621695533272562,1.0,0.4178114637612506,9075.634918610413,8002.081528017137,0.8817103816734787,0.8636356421540525,1,0,0,1,0,0,204.0,145.0,True,True,0.013112030295090397,17,0.00010408021888780744,1073.5533905932753,0.9483038983561859,,,0.0,,0.0,1.0,1,83,83,0,43.0
config\scenarios\area_search_5uav.yaml,area_search_5uav,baseline_sparse_boustrophedon,f9c7cf2,5929431c01b8,251.0,0.9525979945305378,1.0,0.48564593301435405,11804.995667241134,9361.492782986681,0.7930111155368592,0.8618042729561177,1,0,0,1,0,0,192.0,128.0,True,True,0.01719610965748383,17,7.886785209045862e-05,2443.5028842544525,0.9484920027139514,,,0.0,,0.0,1.0,2,104,104,0,59.0
config\scenarios\stress_5uav_balance.yaml,stress_5uav_balance,baseline_sparse_boustrophedon,f9c7cf2,b0bdc9312258,179.0,0.950109409190372,1.0,0.3187471211423307,8887.228714274748,8887.228714274748,1.0,0.9011669472574422,0,0,0,0,0,0,178.0,98.0,True,True,0.013840084907732404,13,0.00010469132559050396,0.0,0.9994816653495857,,,0.0,,0.0,1.0,0,114,114,0,1.0
config\scenarios\stress_obstacle_maze_3uav.yaml,stress_obstacle_maze_3uav,baseline_sparse_boustrophedon,f9c7cf2,0fef4413708f,313.0,0.9507261410788381,0.9821428571428571,0.3944353518821604,9323.86868351905,9323.86868351905,1.0,0.8268764631310697,0,0,0,0,0,0,312.0,179.0,True,True,0.022737342963091385,14,0.00010029806369503486,0.0,0.9980051970693916,,,0.0,,0.0,1.0,0,95,95,1,1.0
config\scenarios\area_search_2uav_target_confirm.yaml,area_search_2uav_target_confirm,baseline_sparse_boustrophedon,f9c7cf2,f5d58cde7a43,388.0,0.9512809743805124,1.0,0.2640176600441501,7728.944443027289,7345.096679918786,0.9503363278209623,0.7851280263212865,2,0,0,0,1,1,387.0,319.0,True,True,0.011644539647479807,11,0.00012210220069945927,0.0,0.9991666084671055,0.0,39.0,1.0,0.0,0.819382612347753,1.0,0,116,116,0,1.0
