scenario_file,run_id,final_time_s,global_coverage,priority_coverage,redundant_coverage_rate,total_distance_m,effective_search_distance_m,path_efficiency,min_battery,event_count,conflict_count,no_fly_violations,map_update_count,target_found_count,confirm_done_count,time_to_95_coverage_s,time_to_priority_coverage_s,coverage_goal_met,priority_goal_met,turn_rate,replan_count,coverage_gain_per_meter,post_95_extra_distance_m,per_uav_workload_balance,target_response_time_s,target_confirm_duration_s,confirm_success_rate,search_resume_delay_s,coverage_gap_at_confirm_done,interrupted_task_resume_rate,supplemental_task_count,ignored_uncovered_cells,final_uncovered_cells,final_priority_uncovered_cells,post_95_extra_time_s
config\scenarios\area_search_1uav.yaml,area_search_1uav,676.0,0.9508264462809918,1.0,0.20121686223381138,6751.12698372208,6751.12698372208,1.0,0.6249373897932338,1,0,0,1,0,0,676.0,599.0,True,True,0.008739281625461545,11,0.00014083966255909103,0.0,1.0,,,0.0,,0.0,1.0,0,119,119,0,0.0
config\scenarios\area_search_2uav.yaml,area_search_2uav,360.0,0.9512809743805124,1.0,0.24370860927152319,7192.548339959393,7192.548339959393,1.0,0.8000163540286324,0,0,0,0,0,0,360.0,297.0,True,True,0.010010360250203961,10,0.00013225923962102742,0.0,0.9990467394114463,,,0.0,,0.0,1.0,0,116,116,0,0.0
config\scenarios\area_search_2uav_target_confirm.yaml,area_search_2uav_target_confirm,387.0,0.9504409911801764,1.0,0.2633672116659302,7729.238815542516,7345.391052434014,0.9503382192905421,0.7851607343785338,2,0,0,0,1,1,387.0,319.0,True,True,0.011644096158475715,11,0.00012296695882509938,0.0,0.9993567869841625,0.0,39.0,1.0,0.0,0.819382612347753,1.0,0,118,118,0,0.0
config\scenarios\area_search_3uav.yaml,area_search_3uav,328.0,0.9703186381492798,1.0,0.3702204228520018,8641.66522241371,7894.3860018001305,0.9135260159494055,0.8256113917018899,1,0,0,1,0,0,268.0,140.0,True,True,0.011456125347603806,11,0.00011228375702782192,889.7056274847737,0.9134139330068327,,,0.0,,0.0,1.0,29,68,68,0,60.0
config\scenarios\area_search_4uav.yaml,area_search_4uav,259.0,0.963081130355515,1.0,0.3795551348793185,8705.929291125642,7879.238815542516,0.9050428222032759,0.8623434744830496,1,0,0,1,0,0,206.0,147.0,True,True,0.014128302204955836,13,0.00011062358745978197,930.8326112068571,0.8772810937308618,,,0.0,,0.0,1.0,23,81,81,0,53.0
config\scenarios\area_search_5uav.yaml,area_search_5uav,261.0,0.963992707383774,1.0,0.46713947990543736,10974.457428549504,9068.65007051206,0.8263415416711554,0.8560812089615821,1,0,0,1,0,0,192.0,130.0,True,True,0.016857325403507577,12,8.783966894581913e-05,1949.9494936611736,0.8681522216124008,,,0.0,,0.0,1.0,10,79,79,0,69.0
