scenario_file,run_id,algorithm_version,code_version,config_hash,final_time_s,global_coverage,priority_coverage,redundant_coverage_rate,total_distance_m,effective_search_distance_m,path_efficiency,min_battery,event_count,conflict_count,no_fly_violations,map_update_count,target_found_count,confirm_done_count,time_to_95_coverage_s,time_to_priority_coverage_s,coverage_goal_met,priority_goal_met,turn_rate,replan_count,coverage_gain_per_meter,post_95_extra_distance_m,per_uav_workload_balance,target_response_time_s,target_confirm_duration_s,confirm_success_rate,search_resume_delay_s,coverage_gap_at_confirm_done,interrupted_task_resume_rate,supplemental_task_count,ignored_uncovered_cells,final_uncovered_cells,final_priority_uncovered_cells,post_95_extra_time_s
config\scenarios\area_search_1uav.yaml,area_search_1uav,baseline_sparse_boustrophedon,028c1b6,6e450eb3a557,751.0,0.9508264462809918,1.0,0.26597131681877445,7495.979797464464,7495.979797464464,1.0,0.5835566779186585,1,0,0,1,0,0,750.0,673.0,True,True,0.009071529251319646,12,0.00012640745884572851,0.0,1.0,,,0.0,,0.0,1.0,0,119,119,0,1.0
config\scenarios\area_search_2uav.yaml,area_search_2uav,baseline_sparse_boustrophedon,028c1b6,c1aaef19c474,346.0,0.9508609827803444,1.0,0.1978798586572438,6889.827560572972,6889.827560572972,1.0,0.8085403238900251,0,0,0,0,0,0,345.0,282.0,True,True,0.009869622919030645,10,0.00013691215428603172,0.0,0.9996052578448165,,,0.0,,0.0,1.0,0,117,117,0,1.0
config\scenarios\area_search_3uav.yaml,area_search_3uav,baseline_sparse_boustrophedon,028c1b6,dd500488ccad,251.0,0.9519860323003055,1.0,0.2677670793214122,7487.40115370178,7487.40115370178,1.0,0.861206429375147,1,0,0,1,0,0,250.0,131.0,True,True,0.009081922900094744,11,0.00012541876010925405,0.0,0.999100646889421,,,0.0,,0.0,1.0,1,110,110,0,1.0
config\scenarios\area_search_4uav.yaml,area_search_4uav,baseline_sparse_boustrophedon,028c1b6,e7f6b9b39d00,264.0,0.963081130355515,1.0,0.4051112162801704,8715.634918610413,7750.660171779826,0.8892823350402063,0.8623434744830496,1,0,0,1,0,0,206.0,145.0,True,True,0.01468625076604377,14,0.0001084838516909571,1123.259018078048,0.8932986386805933,,,0.0,,0.0,1.0,17,81,81,0,58.0
config\scenarios\area_search_5uav.yaml,area_search_5uav,baseline_sparse_boustrophedon,028c1b6,caedd2a0aa77,265.0,0.963992707383774,1.0,0.48226950354609927,10871.025971044428,8933.502884254447,0.8217718279810314,0.8560812089615821,1,0,0,1,0,0,192.0,128.0,True,True,0.0166497624494784,12,8.669185112572877e-05,2019.9494936611754,0.8631651906069799,,,0.0,,0.0,1.0,10,79,79,0,73.0
config\scenarios\area_search_2uav_target_confirm.yaml,area_search_2uav_target_confirm,baseline_sparse_boustrophedon,028c1b6,12b22d85bf34,388.0,0.9512809743805124,1.0,0.2640176600441501,7728.944443027289,7345.096679918786,0.9503363278209623,0.7851280263212865,2,0,0,0,1,1,387.0,319.0,True,True,0.011644539647479807,11,0.00012210220069945927,0.0,0.9991666084671055,0.0,39.0,1.0,0.0,0.819382612347753,1.0,0,116,116,0,1.0
config\scenarios\stress_5uav_balance.yaml,stress_5uav_balance,baseline_sparse_boustrophedon,028c1b6,68722aaffaed,247.0,0.9851203501094092,1.0,0.4402487783207463,10421.076477383252,9173.086578651017,0.8802436675864788,0.874667789029757,0,0,0,0,0,0,189.0,98.0,True,True,0.013338353317113655,10,9.26417436756851e-05,1486.9848480983528,0.9142804321552566,,,0.0,,0.0,1.0,24,34,34,0,58.0
config\scenarios\stress_fragmented_area_4uav_reachable.yaml,stress_fragmented_area_4uav_reachable,baseline_sparse_boustrophedon,028c1b6,d1740f750c30,311.0,0.9671115347950429,1.0,0.4539181862986693,10762.741699796967,8922.081528017137,0.8289785053733518,0.8362949735787222,0,0,0,0,0,0,226.0,130.0,True,True,0.01505192677838362,10,8.813018362280186e-05,2067.2287142747555,0.9451362560460289,,,0.0,,0.0,1.0,22,69,69,0,85.0
config\scenarios\stress_obstacle_maze_3uav.yaml,stress_obstacle_maze_3uav,baseline_sparse_boustrophedon,028c1b6,23485e930b60,529.0,0.9771784232365145,1.0,0.4893842887473461,11390.264786586946,10604.995667241132,0.9310578696756427,0.753789602472126,0,0,0,0,0,0,392.0,179.0,True,True,0.02177297935093152,12,8.442457443077198e-05,2133.969696196704,0.8908750093525579,,,0.0,,0.0,1.0,136,44,44,0,137.0
