scenario_file,run_id,algorithm_version,code_version,config_hash,final_time_s,global_coverage,priority_coverage,redundant_coverage_rate,total_distance_m,effective_search_distance_m,path_efficiency,min_battery,event_count,conflict_count,no_fly_violations,map_update_count,target_found_count,confirm_done_count,time_to_95_coverage_s,time_to_priority_coverage_s,coverage_goal_met,priority_goal_met,turn_rate,replan_count,coverage_gain_per_meter,post_95_extra_distance_m,per_uav_workload_balance,target_response_time_s,target_confirm_duration_s,confirm_success_rate,search_resume_delay_s,coverage_gap_at_confirm_done,interrupted_task_resume_rate,supplemental_task_count,ignored_uncovered_cells,final_uncovered_cells,final_priority_uncovered_cells,post_95_extra_time_s
config\scenarios\common_edge_3uav_spread_bottom.yaml,common_edge_3uav_spread_bottom,adaptive_component_sweep_v1,444e196,18d4944ccea7,246.0,0.9528,1.0,0.05583543240973971,7340.710678118656,7340.710678118656,1.0,0.8638888888888948,0,0,0,0,0,0,245.0,179.0,True,True,0.010353221007135234,11,0.00012816197794095826,0.0,0.9990188376711083,,,0.0,,0.0,1.0,0,118,118,0,1.0
config\scenarios\common_edge_3uav_spread_left.yaml,common_edge_3uav_spread_left,adaptive_component_sweep_v1,444e196,86c304c8f917,206.0,0.9504,1.0,0.140993265993266,6144.1421356237315,6144.1421356237315,1.0,0.8861111111111161,0,0,0,0,0,0,205.0,64.0,True,True,0.00390615963469465,9,0.0001527308417165608,0.0,0.998653495271685,,,0.0,,0.0,1.0,0,124,124,0,1.0
config\scenarios\common_edge_4uav_spread_bottom.yaml,common_edge_4uav_spread_bottom,adaptive_component_sweep_v1,444e196,6a7d8978804a,192.0,0.9504,1.0,0.023148148148148147,7627.27922061358,7627.27922061358,1.0,0.8938888888888935,0,0,0,0,0,0,191.0,143.0,True,True,0.012979726733019208,11,0.0001224027563428963,0.0,0.9989070945827156,,,0.0,,0.0,1.0,0,124,124,0,1.0
config\scenarios\common_edge_3uav_sparse_obstacles.yaml,common_edge_3uav_sparse_obstacles,adaptive_component_sweep_v1,444e196,523ea9022086,249.0,0.9516329061595701,1.0,0.07471763683753258,7417.695526217007,7417.695526217007,1.0,0.862278058368555,0,0,0,0,0,0,248.0,168.0,True,True,0.014694590741120584,11,0.0001266203342947308,0.0,0.9966172612007879,,,0.0,,0.0,1.0,0,117,117,0,1.0
config\scenarios\distributed_3uav_should_not_sector.yaml,distributed_3uav_should_not_sector,adaptive_component_sweep_v1,444e196,0f76b07400b2,292.0,0.952,1.0,0.19747899159663865,8720.660171779828,8720.660171779828,1.0,0.838398749447835,0,0,0,0,0,0,291.0,248.0,True,True,0.013645755901036664,17,0.00010769826842229945,0.0,0.9994952441639868,,,0.0,,0.0,1.0,0,120,120,0,1.0
config\scenarios\clustered_launch_3uav_open.yaml,clustered_launch_3uav_open,adaptive_component_sweep_v1,444e196,0bbf483e1091,225.0,0.9512,1.0,0.1930193439865433,6713.1370849898485,6713.1370849898485,1.0,0.875555555555561,0,0,0,0,0,0,224.0,178.0,True,True,0.004170926296530758,10,0.0001408581394999816,0.0,0.9988583262764591,,,0.0,,0.0,1.0,0,122,122,0,1.0
config\scenarios\area_search_3uav.yaml,area_search_3uav,adaptive_component_sweep_v1,444e196,7cb32823ec08,252.0,0.9519860323003055,1.0,0.26180651077487394,7515.685424949242,7515.685424949242,1.0,0.8606508738195915,1,0,0,1,0,0,251.0,131.0,True,True,0.00931385443137713,11,0.0001249467634742333,0.0,0.9990941304418169,,,0.0,,0.0,1.0,1,110,110,0,1.0
config\scenarios\area_search_5uav.yaml,area_search_5uav,adaptive_component_sweep_v1,444e196,252de7bdec51,182.0,0.9525979945305378,1.0,0.34210526315789475,9002.792206135791,9002.792206135791,1.0,0.8996677890297559,1,0,0,1,0,0,181.0,128.0,True,True,0.015328577716805132,16,0.00010341621031505517,0.0,0.997092471302063,,,0.0,,0.0,1.0,0,104,104,0,1.0
config\scenarios\area_search_2uav_target_confirm.yaml,area_search_2uav_target_confirm,adaptive_component_sweep_v1,444e196,d8494a2bbf08,385.0,0.9504409911801764,1.0,0.26513477684489617,7667.228714274751,7283.3809511662475,0.9499365706420286,0.7869227193092303,2,0,0,0,1,1,384.0,311.0,True,True,0.012390396000986665,11,0.0001229754814306906,0.0,0.9995367629343794,0.0,39.0,1.0,0.0,0.819382612347753,1.0,0,118,118,0,1.0
