scenario_file,run_id,final_time_s,global_coverage,priority_coverage,redundant_coverage_rate,total_distance_m,effective_search_distance_m,path_efficiency,min_battery,event_count,conflict_count,no_fly_violations,map_update_count,target_found_count,confirm_done_count,time_to_95_coverage_s,time_to_priority_coverage_s,coverage_goal_met,priority_goal_met,turn_rate,replan_count,coverage_gain_per_meter,post_95_extra_distance_m,per_uav_workload_balance,target_response_time_s,target_confirm_duration_s,confirm_success_rate,search_resume_delay_s,coverage_gap_at_confirm_done,interrupted_task_resume_rate,supplemental_task_count,ignored_uncovered_cells,final_uncovered_cells,final_priority_uncovered_cells,post_95_extra_time_s
config\scenarios\stress_obstacle_maze_3uav.yaml,stress_obstacle_maze_3uav,522.0,0.9771784232365145,1.0,0.5589171974522293,12088.843430349634,11308.42712474621,0.9354432613756787,0.753789602472126,0,0,0,0,0,0,391.0,181.0,True,True,0.022665526406943907,12,7.954592701955433e-05,1662.8427124746177,0.890871119906282,,,0.0,,0.0,1.0,89,44,44,0,131.0
config\scenarios\stress_fragmented_area_4uav.yaml,stress_fragmented_area_4uav,109.0,0.2694965449160908,0.5333333333333333,0.18315018315018314,2112.1320343559646,2112.1320343559646,1.0,0.9397862353828634,0,0,0,0,0,0,,,False,False,0.016097478494220815,2,0.00011918172626520841,,0.9743674832608948,,,0.0,,0.0,1.0,0,0,1480,56,
config\scenarios\stress_5uav_balance.yaml,stress_5uav_balance,248.0,0.9846827133479212,1.0,0.4391111111111111,10536.639969244294,9265.51298552221,0.8793612586714158,0.8742075517382313,0,0,0,0,0,0,190.0,98.0,True,True,0.014046223505026415,10,9.158413516051583e-05,1515.9797974644698,0.9296478447923606,,,0.0,,0.0,1.0,24,35,35,0,58.0
config\scenarios\stress_target_confirm_mid_search.yaml,stress_target_confirm_mid_search,404.0,0.9770310506167589,1.0,0.40313452329124944,9225.512985522213,7851.248916810282,0.85103656882077,0.8076198493069737,2,0,0,0,1,1,327.0,179.0,True,True,0.012573826537563946,10,0.0001046604755139785,1284.264068711931,0.8665089412038247,0.0,33.0,1.0,0.0,0.3443002977456401,1.0,24,54,54,0,77.0
config\scenarios\stress_dynamic_obstacle_mid_route.yaml,stress_dynamic_obstacle_mid_route,229.0,0.950406156477127,1.0,0.18488529014844804,6823.259018078048,6823.259018078048,1.0,0.873596160036349,1,0,0,0,0,0,228.0,163.0,True,True,0.010552142284095893,10,0.00013762725125699595,0.0,0.9995944725695484,,,0.0,,0.0,1.0,0,116,116,0,1.0
