scenario_file,run_id,algorithm_version,code_version,config_hash,final_time_s,global_coverage,priority_coverage,redundant_coverage_rate,total_distance_m,effective_search_distance_m,path_efficiency,min_battery,event_count,conflict_count,no_fly_violations,map_update_count,target_found_count,confirm_done_count,time_to_95_coverage_s,time_to_priority_coverage_s,coverage_goal_met,priority_goal_met,turn_rate,replan_count,coverage_gain_per_meter,post_95_extra_distance_m,per_uav_workload_balance,target_response_time_s,target_confirm_duration_s,confirm_success_rate,search_resume_delay_s,coverage_gap_at_confirm_done,interrupted_task_resume_rate,supplemental_task_count,ignored_uncovered_cells,final_uncovered_cells,final_priority_uncovered_cells,post_95_extra_time_s
config\scenarios\area_search_1uav.yaml,area_search_1uav,segment_sweep_v1,028c1b6,3ccf0008f4c5,741.0,0.9508264462809918,1.0,0.26510212950890916,7392.132034355965,7392.132034355965,1.0,0.589325998091353,1,0,0,1,0,0,740.0,663.0,True,True,0.006628669478881825,12,0.00012818328370658712,0.0,1.0,,,0.0,,0.0,1.0,0,119,119,0,1.0
config\scenarios\area_search_2uav.yaml,area_search_2uav,segment_sweep_v1,028c1b6,e3e0e26dff41,474.0,0.9848803023939521,1.0,0.35948827292110874,8503.675323681466,7651.1269837220825,0.8997435452897451,0.7453744989956748,0,0,0,0,0,0,379.0,396.0,True,True,0.005762214352603787,10,0.00011492918254642632,1317.4011537017695,0.927688713439485,,,0.0,,0.0,1.0,28,36,36,0,95.0
config\scenarios\area_search_3uav.yaml,area_search_3uav,segment_sweep_v1,028c1b6,0f34c5c702b8,320.0,0.9781754692274116,1.0,0.4386434627398483,9200.660171779826,7993.675323681475,0.8688154082898961,0.8258578643762764,1,0,0,1,0,0,265.0,218.0,True,True,0.013042542356695535,13,0.00010477046665687963,1271.1269837220825,0.9839657934203339,,,0.0,,0.0,1.0,11,50,50,0,55.0
config\scenarios\area_search_4uav.yaml,area_search_4uav,segment_sweep_v1,028c1b6,80837a9aa2fb,351.0,0.9863263445761167,1.0,0.527264325323475,11114.457428549504,9609.066376115488,0.8645555968780676,0.8252955347602651,1,0,0,1,0,0,253.0,178.0,True,True,0.01664498705306063,16,8.716132715891717e-05,1930.2438661764008,0.9182634097015238,,,0.0,,0.0,1.0,47,30,30,0,98.0
config\scenarios\area_search_5uav.yaml,area_search_5uav,segment_sweep_v1,028c1b6,9d1f7804e98d,230.0,0.9931631722880584,1.0,0.40293712712253327,9879.898987322345,8621.492782986683,0.8726296487494032,0.8806277457305112,1,0,0,1,0,0,163.0,162.0,True,True,0.012651951215330953,12,9.820466001931043e-05,1750.5382386916299,0.9495715182722718,,,0.0,,0.0,1.0,22,15,15,0,67.0
config\scenarios\area_search_2uav_target_confirm.yaml,area_search_2uav_target_confirm,segment_sweep_v1,028c1b6,91801edd5a0c,484.0,0.9895002099958001,1.0,0.3709677419354839,9079.066376115472,7508.111831820433,0.8269695936547189,0.7442633878845637,2,0,0,0,1,1,382.0,398.0,True,True,0.008260761282382997,11,0.00010815433223133948,1498.5281374238466,0.986156366658918,0.0,52.0,1.0,0.0,0.8025829483410332,1.0,28,25,25,0,102.0
config\scenarios\stress_5uav_balance.yaml,stress_5uav_balance,segment_sweep_v1,028c1b6,5b953cedd7ea,262.0,0.9719912472647703,1.0,0.5294912201710941,10932.203461105342,9280.660171779828,0.8489285993257091,0.8557557720517894,0,0,0,0,0,0,178.0,205.0,True,True,0.009147286762067738,11,8.674910465383277e-05,2343.380951166253,0.8874267142101653,,,0.0,,0.0,1.0,2,64,64,0,84.0
config\scenarios\stress_fragmented_area_4uav_reachable.yaml,stress_fragmented_area_4uav_reachable,segment_sweep_v1,028c1b6,06c70d7b664f,307.0,0.9647283126787417,1.0,0.49950592885375494,10967.594513539352,9080.365799264599,0.8279268337332316,0.8409300545512262,0,0,0,0,0,0,230.0,163.0,True,True,0.013403121333354404,10,8.639716870199852e-05,2041.3708498984834,0.957287769997966,,,0.0,,0.0,1.0,16,74,74,0,77.0
config\scenarios\stress_obstacle_maze_3uav.yaml,stress_obstacle_maze_3uav,segment_sweep_v1,028c1b6,88981e47013f,345.0,0.9766597510373444,1.0,0.5608072225172597,9908.355697996834,8245.391052434012,0.832165427216241,0.8135008417723217,0,0,0,0,0,0,283.0,238.0,True,True,0.00989064209915401,10,9.699889813771476e-05,1672.9646455628226,0.9774390432775508,,,0.0,,0.0,1.0,2,45,45,0,62.0
